,Region,Happiness Score,GDP,Family,Health,Freedom,Corruption,Generosity,Status
0,Southern Asia,3.512799982070922,0.35711344353485097,0.40975266527557375,0.2547073557691574,0.117923904097557,0.0580935660119057,0.2677301865158082,Infeliz
1,Central and Eastern Europe,4.712600010681152,0.9386325506629944,0.7549310495796204,0.7876959493293763,0.37189772696304324,0.043200843199968336,0.1678865888586044,Infeliz
2,Middle East and Northern Africa,5.667600043487548,1.012962893333436,1.07420549308014,0.6650569291496277,0.17843716158390038,0.14609922206878662,0.06921932939958572,Feliz
3,Sub-Saharan Africa,3.872250019073488,0.7983795450544358,0.9383679899120325,0.13390216640889646,0.027432500000000005,0.07157008382618428,0.10526912250220774,Infeliz
4,Latin America and Caribbean,6.4593999954223635,1.1110350925216683,1.330960229034424,0.7608954167060852,0.4816198407802582,0.06430797754287719,0.092371412138939,Feliz
5,Central and Eastern Europe,4.39319998550415,0.8391333475723265,0.890872744155884,0.6978508851966858,0.2160286534719468,0.03876688430082798,0.08239361836528777,Infeliz
6,Australia and New Zealand,7.276199983978271,1.3948849870224,1.4090063904266361,0.9145293585319522,0.6050434764595031,0.3145727460727692,0.4160778499965668,Feliz
7,Western Europe,7.142000008392334,1.398341452667236,1.36396299269104,0.8836796838417055,0.576929237915039,0.21426007308769224,0.29240046434974676,Feliz
8,Central and Eastern Europe,5.22920004119873,1.073644353126526,1.03175005104065,0.6196531551818849,0.38054516765022284,0.1757555014209748,0.04913186805534362,Feliz
9,Middle East and Northern Africa,6.113799978637696,1.390482452201844,1.24346409224701,0.7252506069412232,0.5190833838310243,0.21075243391418463,0.2031516973667144,Feliz
10,Southern Asia,4.580199960327148,0.5239965950584413,0.6383363481140136,0.5933542067108153,0.47826733188247683,0.1324475718774796,0.17895907042789463,Infeliz
11,Central and Eastern Europe,5.597999953460694,1.085019511993408,1.338153043235778,0.6987668533554078,0.30153805237579345,0.1635567643346786,0.120003501821518,Feliz
12,Western Europe,6.92139995880127,1.3753981521530159,1.3574925396728517,0.8828703738708497,0.5387621444778443,0.23784462621307378,0.20888066752433776,Feliz
13,Latin America and Caribbean,5.955999950408937,0.8637117720158893,0.9563225996653234,0.4599605886745453,0.5509397907447813,0.09776369053840638,0.21995188028494536,Feliz
14,Sub-Saharan Africa,3.90100001296997,0.3767450815467834,0.3404699687099456,0.2752620422611236,0.4193865551891326,0.07136780305576325,0.186069692234993,Infeliz
15,Southern Asia,5.124800031280518,0.8235072777023316,1.201687302886962,0.5397078584976196,0.49846753612518324,0.1654860779619216,0.43469890903282166,Feliz
16,Latin America and Caribbean,5.813199990844726,0.7672613132095336,1.0951638103866579,0.539306049900055,0.5518965853691102,0.06878754523229598,0.18518014494705198,Feliz
17,Central and Eastern Europe,5.161800032043457,0.9216938835258484,0.9844331875,0.7613312614860535,0.17679263538074502,0.0016539999999999999,0.2709674990119934,Feliz
18,Sub-Saharan Africa,3.830000006484986,1.0535808308715822,1.107410998916626,0.3384071018753052,0.4906072665863038,0.10460263981676102,0.07904168964338301,Infeliz
19,Latin America and Caribbean,6.6578000457763675,1.033226642089844,1.323311200904846,0.6809444705810546,0.4430387493591308,0.1203925522317886,0.134969978928566,Feliz
20,Central and Eastern Europe,4.6186000450134275,1.0865358176651,1.2987878916854858,0.7359535360908509,0.2954583435173034,0.007784306189954282,0.1010635388760566,Infeliz
21,Sub-Saharan Africa,4.07380001296997,0.31465954271698,0.9357400010910041,0.2668128517332078,0.32399957020378123,0.12299562119722363,0.2127729369163514,Infeliz
22,Sub-Saharan Africa,3.078999994277954,0.062446513733387,0.4708167168693541,0.21160815833663937,0.10132015064001083,0.10699158900928499,0.1859210369195938,Infeliz
23,Southeastern Asia,4.205400044250488,0.5482370192375183,0.876219668266296,0.5119726807746888,0.6378711646995544,0.06969919019031524,0.3361805936775208,Infeliz
24,Sub-Saharan Africa,4.695800034332276,0.5191550730171204,0.8520216437988282,0.20137842338085182,0.43716774972915645,0.05008532628321649,0.20785569135761262,Infeliz
25,North America,7.350599996948242,1.388128883255004,1.3874117982788081,0.90055753049469,0.6109541824188232,0.3058463032455444,0.38959794448852536,Feliz
26,Sub-Saharan Africa,3.678,0.0785,0.0,0.06699,0.48878999999999995,0.08288999999999999,0.23835,Infeliz
27,Sub-Saharan Africa,4.003400021743774,0.3820165974750518,0.8038511744308471,0.09489494301605225,0.17768440536594401,0.058758376453638086,0.19312877009487162,Infeliz
28,Latin America and Caribbean,6.5893999900817875,1.1733269219589242,1.202872990768432,0.8449759407806395,0.396821055738449,0.08849759642124175,0.27204848424530026,Feliz
29,Eastern Asia,5.218999952697754,1.003417158111572,1.033679482376098,0.7971211001281737,0.5095755416088104,0.056210854922652244,0.04944936820018292,Feliz
30,Latin America and Caribbean,6.339999974822997,0.9929104649887082,1.30261058733368,0.6716775847167968,0.49209948301506046,0.04497174837040903,0.1374568945922852,Feliz
31,Sub-Saharan Africa,3.9616666666666673,0.26271666666666665,0.7176533333333334,0.38931999999999994,0.17509666666666668,0.15379,0.21070333333333333,Infeliz
32,Sub-Saharan Africa,4.377399977874757,0.7227428504943848,0.7165868726043702,0.34671748678779596,0.42301317416000356,0.0928016267209053,0.11230042553424839,Infeliz
33,Sub-Saharan Africa,4.346400041961671,0.06234246976089478,1.0595966913146981,0.2076934049720764,0.23980626956367498,0.0604482712984085,0.23167516666316978,Infeliz
34,Latin America and Caribbean,7.126199999237061,1.0356552565231318,1.3151607302474981,0.8322478530845642,0.5912283299942016,0.10108131789922718,0.1964226458072662,Feliz
35,Central and Eastern Europe,5.458600044250488,1.152317246681214,0.959862601486206,0.769115704257965,0.28593445852279664,0.03368462200903892,0.1451565952358246,Feliz
36,Western Europe,5.732799962615966,1.2749276153945919,1.0291026545333861,0.913614940235138,0.37718030787277224,0.04619559528040886,0.24973886021423336,Feliz
